--------- beginning of crash
03-29 00:04:22.449  6115  6115 E AndroidRuntime: FATAL EXCEPTION: main
03-29 00:04:22.449  6115  6115 E AndroidRuntime: Process: com.aegis.security, PID: 6115
03-29 00:04:22.449  6115  6115 E AndroidRuntime: java.lang.RuntimeException: Unable to create service com.aegis.security.WarningOverlayService: android.app.MissingForegroundServiceTypeException: Starting FGS without a type  callerApp=ProcessRecord{16de5b4 6115:com.aegis.security/u0a334} targetSDK=34
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.ActivityThread.handleCreateService(ActivityThread.java:5124)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.ActivityThread.-$$Nest$mhandleCreateService(Unknown Source:0)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2559)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:112)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:268)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:384)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:8936)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:580)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:907)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: Caused by: android.app.MissingForegroundServiceTypeException: Starting FGS without a type  callerApp=ProcessRecord{16de5b4 6115:com.aegis.security/u0a334} targetSDK=34
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.MissingForegroundServiceTypeException$1.createFromParcel(MissingForegroundServiceTypeException.java:53)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.MissingForegroundServiceTypeException$1.createFromParcel(MissingForegroundServiceTypeException.java:49)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Parcel.readParcelableInternal(Parcel.java:5074)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Parcel.readParcelable(Parcel.java:5056)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Parcel.createExceptionOrNull(Parcel.java:3236)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Parcel.createException(Parcel.java:3225)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Parcel.readException(Parcel.java:3208)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.os.Parcel.readException(Parcel.java:3150)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.IActivityManager$Stub$Proxy.setServiceForeground(IActivityManager.java:7326)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.Service.startForeground(Service.java:776)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at com.aegis.security.WarningOverlayService.onCreate(WarningOverlayService.kt:50)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	at android.app.ActivityThread.handleCreateService(ActivityThread.java:5111)
03-29 00:04:22.449  6115  6115 E AndroidRuntime: 	... 9 more
03-29 00:04:23.829  7334  7334 E AndroidRuntime: FATAL EXCEPTION: main
03-29 00:04:23.829  7334  7334 E AndroidRuntime: Process: com.aegis.security, PID: 7334
03-29 00:04:23.829  7334  7334 E AndroidRuntime: java.lang.RuntimeException: Unable to create service com.aegis.security.WarningOverlayService: android.app.MissingForegroundServiceTypeException: Starting FGS without a type  callerApp=ProcessRecord{d64fff1 7334:com.aegis.security/u0a334} targetSDK=34
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.app.ActivityThread.handleCreateService(ActivityThread.java:5124)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.app.ActivityThread.-$$Nest$mhandleCreateService(Unknown Source:0)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2559)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:112)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:268)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:384)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:8936)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:580)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:907)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: Caused by: android.app.MissingForegroundServiceTypeException: Starting FGS without a type  callerApp=ProcessRecord{d64fff1 7334:com.aegis.security/u0a334} targetSDK=34
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.app.MissingForegroundServiceTypeException$1.createFromParcel(MissingForegroundServiceTypeException.java:53)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.app.MissingForegroundServiceTypeException$1.createFromParcel(MissingForegroundServiceTypeException.java:49)
03-29 00:04:23.829  7334  7334 E AndroidRuntime: 	at android.os.Parcel.readParcelableInternal(Parcel.java:5074)
